q,candidate_pos,doc_id,query_keywords
2,1,13,trade|buyer
2,2,14,trade|buyer
3,1,13,trade|buyer|counterparty
3,2,14,trade|buyer|counterparty
4,1,13,trade|buyer|counterparty|financial
4,2,14,trade|buyer|counterparty|financial
5,1,13,trade|buyer|counterparty|financial|gas
5,2,14,trade|buyer|counterparty|financial|gas
6,1,13,trade|buyer|counterparty|financial|gas|index
6,2,14,trade|buyer|counterparty|financial|gas|index
7,1,13,trade|buyer|counterparty|financial|gas|index|juan
7,2,14,trade|buyer|counterparty|financial|gas|index|juan
8,1,13,trade|buyer|counterparty|financial|gas|index|juan|monthly
8,2,14,trade|buyer|counterparty|financial|gas|index|juan|monthly
9,1,13,trade|buyer|counterparty|financial|gas|index|juan|monthly|phone
9,2,14,trade|buyer|counterparty|financial|gas|index|juan|monthly|phone
10,1,13,trade|buyer|counterparty|financial|gas|index|juan|monthly|phone|physical
10,2,14,trade|buyer|counterparty|financial|gas|index|juan|monthly|phone|physical
